global_id,name,device,technique,operator,sample_global_id,sample_name,description,spot_global_id,spot_attachment_file_global_id,spot_x_image,spot_y_image,SiO2 (ug/g),SiO2_error,Li (ng/g),Li_error,Sr (ng/g),Sr_error,d17O (ug/g),d17O_error,d18O (ug/g),d18O_error,TiO2 (ug/g),TiO2_error,Al2O3 (ug/g),Al2O3_error,Cr2O3 (ug/g),Cr2O3_error,FeO (cg/g),FeO_error,MnO (ug/g),MnO_error,NiO (ug/g),NiO_error,MgO (cg/g),MgO_error,CaO (ug/g),CaO_error,Na2O (ug/g),Na2O_error,K2O (ug/g),K2O_error,P2O5 (ug/g),P2O5_error,H2O (ug/g),H2O_error,C (ug/g),C_error,S (cg/g),S_error,F (ug/g),F_error,Cl (ug/g),Cl_error,total (cg/g),total_error,SO3 (ug/g),SO3_error,Y (ng/g),Y_error,Zr (ng/g),Zr_error,Nb (ng/g),Nb_error,Ba (ng/g),Ba_error,La (ng/g),La_error,Ce (ng/g),Ce_error,Pr (ng/g),Pr_error,Nd (ng/g),Nd_error,Sm (ng/g),Sm_error,Eu (ng/g),Eu_error,Gd (ng/g),Gd_error,Dy (ng/g),Dy_error,Er (ng/g),Er_error,Yb (ng/g),Yb_error,Lu (ng/g),Lu_error,Hf (ng/g),Hf_error,nNa (ug/g),nNa_error,nMg (cg/g),nMg_error,nAl (cg/g),nAl_error,nTi (cg/g),nTi_error,nCr (cg/g),nCr_error,nMn (ug/g),nMn_error,nFe (cg/g),nFe_error,nP (cg/g),nP_error,nCl (cg/g),nCl_error,nCa (cg/g),nCa_error
20131126174221-075600,CBK-1-i/O-3iso/ys_xxx_cbk1i@1701@1722/@1722,SEM-EDS,,,20130902160128-765898,mount CBK-1-i,,20131126174227-409702,20131126174050-285121,644.0048828125,-258.234375,3000.0,,,,,,,,,,22500.0,,62000.0,,556400.0,,32.54,,7000.0,,,,2.09,,,,,,,,,,,,,,,,,,,,99.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130630111523-615075,LF5075,MAT253,,,20130612155108-394063,OK-10VM,,,,,,,,,,,,3787.0,20.0,4916.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130630111412-533383,LF5073,MAT253,,,20130612155108-394063,OK-10VM,,,,,,,,,,,,3746.0,17.0,4819.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20131217183212-552646,OK-10VM-d,PW2400,XRF,HK,20130809083746-885416,powder OK-10VM-d,,,,,,403000.0,,,,,,,,,,700.0,,18100.0,,6200.0,,25.1,,3100.0,,11500.0,,25.7,,18600.0,,9800.0,,1400.0,,2500.0,,7300.0,,400.0,,1.78,,25.0,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130821152852-741344,misip_mer_ok11ma@1,,,,20130704180915-127898,TS OK-11-m-a,,20130821152910-862693,20130822111940-745497,366.143019727752,-362.59891533849793,,,1540.48495405756,51.9443372594364,39080.7718804451,467.384008792758,,,,,,,,,,,,,,,,,,,462500.0,0.0,,,,,,,,,,,,,,,,,,,,,371302.616832119,2300.97273584127,2504.79012436874,1058.32098377497,53.9103528034513,6.908099483001051,1331.88882706587,328.994660525657,73810.061790564,358.725440399708,185287.306979531,1110.60097278206,27829.781202164,164.99638831093,150257.685292361,701.195476017196,49268.6675361351,333.643072054505,1781.41398847382,56.69769906893829,58664.7098189287,630.620501098671,69892.0311482948,1078.64612956294,35754.301802935,760.084355224891,33503.218184171,293.912145060421,4098.806973724,81.94029458115538,3041.10683263771,566.6310700171609,,,,,,,,,,,,,,,,,,,,
20130821153943-716675,misip_mer_ok11ma@2,,,,20130704180915-127898,TS OK-11-m-a,,20130821154000-064775,20130822111940-745497,382.120945171397,-387.18033909795093,,,1264.00690404447,28.2286019121014,41343.10521036,455.5452308916729,,,,,,,,,,,,,,,,,,,462500.0,0.0,,,,,,,,,,,,,,,,,,,,,383246.830192257,2183.23646310342,1877.71859806223,506.844845088764,56.8548567961163,9.593867338279464,1443.06476655328,185.553783014694,76388.0755135168,467.89236828487,189583.313028696,1301.88997601196,28393.4001707982,180.611367197314,153566.161632912,1240.48541227739,49273.4629910055,416.539662331671,1840.9073202989,33.7305285626164,61892.5949263496,649.964405375974,71704.2996834166,766.7853410803729,35413.7710330863,754.5369165183669,34668.4758019903,774.3391507679789,4377.988059272,125.277559180894,3479.46309167575,338.635865387345,,,,,,,,,,,,,,,,,,,,
20130821154712-314503,misip_mer_ok11ma@3,,,,20130704180915-127898,TS OK-11-m-a,,20130821154730-681326,20130822111940-745497,397.484335021055,-249.52436604501094,,,1628.90269923477,23.595917116202397,52611.7977441693,1228.0139230498,,,,,,,,,,,,,,,,,,,462500.0,0.0,,,,,,,,,,,,,,,,,,,,,363740.979599575,1827.28631111247,4263.41009446826,1173.68423739068,55.5650277368452,7.11587211289617,2179.83436567026,243.226842247823,73520.9370678506,311.888072040365,183584.168263838,1303.98478543133,27452.40677549,168.182912377953,149210.663573104,1531.54579855981,47692.8784792972,482.496469459167,1656.59480111959,74.4025482495752,57478.8908578738,562.9036086403,71438.8155882999,1384.41075487204,35682.7830649572,571.9772775099829,34396.3333837865,246.353115295859,4277.66613011387,178.058092251802,2187.5874476076,545.513812373664,,,,,,,,,,,,,,,,,,,,
20130821152533-648164,misip_ap_ok11ma@4,,,,20130704180915-127898,TS OK-11-m-a,,20130821152551-222000,20130822111940-745497,237.09054499062,-269.18950505257294,,,273.02568064086,11.3740182893653,106895.169933159,807.467244679767,,,,,,,,,,,,,,,,,,,514300.0,0.0,,,,,,,,,,,,,,,,,,,,,18101.4944548779,141.014688754246,377.801089565593,74.4683523855138,99.243909549685,3.48697842047304,2313.58414964159,221.329503340233,14320.5262906869,96.2002418968623,27263.4127596224,352.165595388959,3176.42073009512,53.0929698802733,14498.6097477697,270.367985315029,3777.80635761917,112.899070369183,1038.44888098754,41.4991511516462,3693.79022363055,140.69928616464,3795.85839870822,228.959883801056,1667.51519488048,114.156456566088,1227.9278722887,124.775745706691,226.241624197452,35.0734851592578,13.5295337918507,84.01046826732279,,,,,,,,,,,,,,,,,,,,
20130821144203-789659,misip_cpx_ok11ma@14,,,,20130704180915-127898,TS OK-11-m-a,,20130821144222-144763,20130822111940-745497,372.145,-59.21468193384242,530000.0,0.0,605.237311615328,11.8916447513815,8622.44989617142,80.8127768404833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9783.57243650921,73.6750016854471,69640.3794496585,330.478156519268,910.6707900418588,45.3815290621372,1580.78718333103,103.261683699353,285.91695638575,7.85868996837042,1152.48246952771,21.7257055157686,196.765316834922,13.902260158987698,1516.22679836909,149.376203067685,666.3890729724981,50.2407517056133,78.5467640583381,6.81062848528108,1188.66863986015,33.1621928535606,1744.04577074839,114.969084875686,1094.76100456448,124.723226815191,1105.06479604811,81.4435892750407,249.347837137269,28.0621783165672,1956.16496399795,190.978608310573,,,,,,,,,,,,,,,,,,,,
20130821144754-937028,misip_cpx_ok11ma@16,,,,20130704180915-127898,TS OK-11-m-a,,20130821144812-235277,20130822111940-745497,549.748227765155,-170.9816053511709,530000.0,0.0,619.906395491338,27.701602990041096,10902.3279612194,425.046044011842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8802.98986395396,162.401891392297,61002.5782742373,977.919948845838,1585.89821442915,72.2316969571607,1460.2334478788,64.10063052414979,342.655520814712,18.6680927946134,1217.51956550997,48.14756692693,211.011756759471,6.61615595436016,1476.99683142248,52.1473284634225,564.062021298532,26.3420948146887,73.2826298852279,6.694353840164118,868.6995880203569,82.5562974942424,1496.03741664905,104.95275865096,1119.11635729732,76.7260001535201,1362.56343379904,48.4714304320393,181.942259600301,24.4931195050016,1309.54217791104,121.130977983809,,,,,,,,,,,,,,,,,,,,
20130821144954-242186,misip_cpx_ok11ma@17,,,,20130704180915-127898,TS OK-11-m-a,,20130821145011-042226,20130822111940-745497,460.952241143081,-214.78762541805992,530000.0,0.0,990.856471080758,79.23461090700108,7190.43671573381,70.86435736961938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9032.3027478266,302.244352969227,64000.4388985823,920.49537650232,964.223072656581,38.779212836179894,2489.59002503509,728.416256305869,290.917384427455,12.4560987504341,1176.43106658947,48.3954324528594,197.538869045017,5.440595786299409,1408.15070582671,31.8442182530567,677.601361336594,58.5254638464278,114.79204104525,12.9736915848623,1022.25067376095,66.2101416777608,1598.15099597714,69.8545162604471,1111.98941386477,67.1295903472599,1262.74246292174,74.2779477653083,201.060163600983,25.267901978689498,1756.05426484874,175.854344009585,,,,,,,,,,,,,,,,,,,,
20130821145029-767328,misip_px_ok11ma@12,,,,20130704180915-127898,TS OK-11-m-a,,20130821145047-160219,20130822111940-745497,590.594381611308,-479.9916387959869,550000.0,0.0,132.318904497302,5.504640856702261,158.720843165605,13.6276758256113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.950822399323,17.5978961130058,919.422182639242,42.5624383733586,175.469336683198,4.258838406486239,101.79606627449,51.17770480401789,14.579976446619,2.79375677506948,20.5948394577235,3.63871963687931,3.8525454568243607,0.696979605347971,38.1240314018861,1.14457565363739,22.7226938901088,0.133584069272223,5.557854962278221,0.19232447393395,5.54058230957501,0.5163330293176749,45.5874887833098,8.72192140683497,50.0261937008479,11.6622500482404,148.970343539135,23.924130552198697,25.7701432907468,4.12144148187502,46.8829060503444,15.637909800392196,,,,,,,,,,,,,,,,,,,,
20130821145311-377036,misip_px_ok11ma@13,,,,20130704180915-127898,TS OK-11-m-a,,20130821145330-920523,20130822111940-745497,663.999063885556,-438.55351170568593,550000.0,0.0,263.873953875148,17.269145555476097,2067.83672967208,313.854180125559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641.559309066324,49.7560193796206,2435.61138312754,335.764220073452,662.3773925391489,92.0905804870865,61.4309706184004,10.9020104315597,14.3318646292417,2.3085038257739097,47.3960250861608,6.052821322592289,4.52616913419205,1.29909586808103,33.2761064263741,4.066345515061171,29.2558103836288,5.15568333285227,5.5310441193254,0.321013492019498,12.23925167985,4.1266295430269,57.3055926556213,20.145981846537897,75.9650386612924,11.7179089438032,189.791039582622,27.9008942530125,52.4147497265577,6.028876692401369,123.94025134376,28.700934758680894,,,,,,,,,,,,,,,,,,,,
20130821145404-277067,misip_px_ok11ma@9,,,,20130704180915-127898,TS OK-11-m-a,,20130821145420-887209,20130822111940-745497,165.55759231365,-153.22240802675591,550000.0,0.0,159.719001681349,8.787807365585499,2080.92436503843,291.775244742377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.55773709465,12.9270202956221,1285.3050476165,56.3197586030046,187.151460343721,12.4860211644585,531.121617532606,149.136429959326,15.8694907622658,2.44262553610814,50.1985156972779,7.94800305055318,7.03735911856272,1.675822701809,19.234914676050096,1.03248471348618,22.2611497436181,1.19016387397509,11.2861130361213,4.114727439540591,11.2432935282124,0.4551074493818049,32.4433850779102,10.6267960737996,53.56050993818219,6.872200050288869,116.166801940225,17.0436661854245,15.3341480611945,4.594241361523411,70.19435547544919,25.3524248550515,,,,,,,,,,,,,,,,,,,,
20130821145545-424564,misip_pl_ok11ma@15,,,,20130704180915-127898,TS OK-11-m-a,,20130821145603-337735,20130822111940-745497,318.286689303616,-165.65384615384693,670000.0,0.0,188.381571076403,24.8920293356742,61314.0720057941,2560.07624333408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.4675480906,21.8816928132397,2216.2203198572,64.62133135814528,252.207982015591,10.3609177415104,45287.372977047,1394.02791069979,77.41705134843,3.6092991422445295,109.264754416734,11.830103295504,9.541881895875092,1.3824993416508202,39.0057677286368,11.4061445008883,22.331067709645,0.954130714703374,452.513507694206,44.1808118597982,13.2391957932261,6.211772215332031,33.758618142909,9.74720822525858,51.5253947095928,25.500877306599197,39.6416132494784,11.4835155024173,15.964237891921,3.52029982772819,64.17570770499,17.0825475009687,,,,,,,,,,,,,,,,,,,,
20130821145704-053155,misip_pl_ok11ma@18,,,,20130704180915-127898,TS OK-11-m-a,,20130821145721-493342,20130822111940-745497,244.290033785221,-358.04515050167294,670000.0,0.0,632.4028940983139,25.1879991383415,197611.972708391,1207.5403112067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1081.09649161169,25.0760374561107,21985.6127813832,647.9218696169859,8007.72308179839,982.559826386201,39930.8357210536,743.055652498069,260.901545191976,5.104406180306511,592.9067827857189,31.270883844012495,64.466362325228,8.5996099354589,422.153975799382,38.9482773786236,106.621466723773,26.1374687947133,1068.46208200131,37.8888750199196,163.647772934171,33.6903050651157,221.736287499484,53.2609662276335,135.050062068462,36.2033809112643,93.0969437001018,23.843423956396496,20.8667725874511,9.15339759731412,545.1215602353259,76.536733799937,,,,,,,,,,,,,,,,,,,,
20130821145727-171778,misip_pl_ok11ma@19,,,,20130704180915-127898,TS OK-11-m-a,,20130821145746-612756,20130822111940-745497,204.035853183215,-366.92474916387994,670000.0,0.0,252.022273466048,6.355228265901161,135689.076739241,1968.98538769262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799.233041069182,59.4234020823389,13274.2222698231,308.859901888818,2388.5015784762,153.590827338581,42408.382674401,914.042175019109,135.577241774342,17.239754779086397,262.088850409143,14.5834625153021,36.2892543481253,3.5948390096335694,202.249140314131,35.07411274888849,114.205604427663,18.2268097627573,709.085063258798,36.2017310815728,85.8895204960529,20.1556818046636,132.951913564702,23.0438602454826,76.4569539511032,42.2518565983176,138.189888226569,24.774988831511397,24.3316394562347,9.12281238171654,369.336939104136,47.8403960232727,,,,,,,,,,,,,,,,,,,,
20130821155728-831865,misip_mer_ok11ma@5,,,,20130704180915-127898,TS OK-11-m-a,,20130821155744-797179,20130822111940-745497,101.27817871963799,-354.6099526166759,,,1115.49069752971,19.1563062355684,42584.9685008702,303.655409468451,,,,,,,,,,,,,,,,,,,462500.0,0.0,,,,,,,,,,,,,,,,,,,,,372377.13686311,2255.26645161797,443.799037880057,121.127926082216,56.5896660557749,10.2054548302784,1447.57523192141,147.123519252147,77606.0389627897,357.323644780757,193271.20069452,1054.15360560594,28279.8685026507,93.2786650044842,153933.083363381,1741.48047079102,49342.8084934831,611.5783299782959,1885.94729254213,64.50966486927489,58096.3217698756,669.52795694107,72762.4809376081,741.605589284662,35621.9434252384,708.286400576029,34061.4075149967,494.863928832517,4068.51672845302,102.365717785282,1585.28394686872,517.716339090994,,,,,,,,,,,,,,,,,,,,
20130821193049-330197,misip_ol_ok11ma@6,,,,20130704180915-127898,TS OK-11-m-a,,20130821193106-651988,20130822111940-745497,95.70474950428499,-347.3896321070229,370000.0,0.0,2340.7335347215,82.7384606220687,151.161477230631,21.2429538074048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.97420186962,21.9952100349965,531.497457044713,79.7594852440802,93.41026413422028,10.066301093765595,111.082871229077,37.1494865505731,16.1124255327447,2.82034724551693,29.2323690263567,5.35359066663749,8.70347791762513,2.40036972749977,44.8827280385543,13.7257229120012,32.996891259474694,8.60299546060793,5.64921622607148,0.23981238191877,25.7745737380704,11.1957254971035,26.182602547135,7.05138457589539,34.2583124894534,12.3182051994824,64.9737231707069,12.1188774499207,32.0717771631719,13.8443937093865,48.79905158848909,11.7262161495324,,,,,,,,,,,,,,,,,,,,
20130821193113-684494,misip_ol_ok11ma@7,,,,20130704180915-127898,TS OK-11-m-a,,20130821193133-640953,20130822111940-745497,231.266622413984,-307.13545150501693,370000.0,0.0,185.489436032754,6.00701784766669,241.543478075263,40.5528832505348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9141952812658,5.70045201799935,655.473017795371,220.666843386353,52.1326618633527,6.405200986218089,58.9262439452691,14.0265629647676,4.18350886230911,0.05951237064483429,11.8188080359663,1.20102346255311,3.68554183565791,0.209040759085753,30.781027954220296,9.26909029108678,23.8955903186233,0.855373401081412,6.764353575296319,0.100625682667815,8.67223771367208,0.624103547588116,12.8007800676328,0.7744561854120118,19.962798531300297,0.794351795589531,18.5473754905496,2.06515025903841,10.1935245680445,0.23751657153552,38.8278183635042,1.59716698697374,,,,,,,,,,,,,,,,,,,,
20130821193422-344411,misip_ol_ok11ma@10,,,,20130704180915-127898,TS OK-11-m-a,,20130821193440-186363,20130822111940-745497,173.253244487563,-146.1187290969899,370000.0,0.0,2591.10175015467,31.103387390484595,1675.87373401801,92.4658526781828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.1757941740029,14.1443621024822,757.862347951908,52.53962121146209,116.114227990197,10.9238479634089,304.844264362567,46.8003615528801,30.1208606891991,2.8747176640688403,82.18663513130709,10.5211378110471,14.6896013581052,3.268332511684721,62.3610777905331,10.1693061888787,26.938662636859,0.7808309223843068,5.09199868413898,0.0600477526296759,37.7968657269069,12.8541988115014,52.3168788342673,15.8525931506155,33.9250395702893,8.31000454639021,85.0335204213553,17.660679548203,22.1139125024591,2.07709195055079,23.6485297595236,0.7851680320928401,,,,,,,,,,,,,,,,,,,,
20130821194116-216003,misip_ol_ok11ma@8,,,,20130704180915-127898,TS OK-11-m-a,,20130821194133-329013,20130822111940-745497,165.55759231365,-287.60033444816094,370000.0,0.0,1805.54469807773,28.178750730168,944.958736882872,292.571717875339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6013357716445,3.30118990352824,264.439554429974,83.4062855227736,56.8906151786729,11.8850997473886,357.226210464765,101.69564440283,5.428179592945871,0.8373683624732431,10.5014301065757,1.82002405723252,3.58925108377982,0.0401132201249624,22.3533366289734,0.143715644547441,27.0875331893226,0.5289142758991698,11.4768003603129,3.83273660121018,11.2561372657247,0.6129268375118178,13.3702466654998,1.1734810706834402,27.9243644501654,7.356020183212691,18.3370268348103,0.663257879677412,15.986779425661496,5.487725099937409,,,,,,,,,,,,,,,,,,,,,,
20130821194224-907355,misip_ol_ok11ma@11,,,,20130704180915-127898,TS OK-11-m-a,,20130821194241-419071,20130822111940-745497,410.042542146425,-139.60702341137093,370000.0,0.0,1012.79247016819,27.8372719780683,184.477838930864,26.6788551341746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.012074451577,2.4418832890882505,71.8160146532803,9.38896912795961,13.7100896677731,2.99533007620287,60.2058814835337,12.529844400560698,5.526959520165839,1.6411580870412898,11.8712250303149,2.87488300779348,3.7248750671028805,0.16032052708578098,21.1088999200556,0.704122604831063,24.287241078220397,0.8101414814093979,6.208284231041811,0.04597858412977859,11.711422799638,0.5911011167247809,13.1718599056331,0.8947771096845798,23.2525281378526,0.106012751089438,40.7330869164782,12.1241308766736,9.79168060221647,0.214229339592839,,,,,,,,,,,,,,,,,,,,,,
20130822111922-713161,misip_cpx_ok11ma@14,,,,20130704180915-127898,TS OK-11-m-a,,20130822111941-149174,20130822111940-745497,372.156254521008,-59.09866220735852,530000.0,0.0,605.237311615328,11.8916447513815,8622.44989617142,80.8127768404833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9783.57243650921,73.6750016854471,69640.3794496585,330.478156519268,910.6707900418588,45.3815290621372,1580.78718333103,103.261683699353,285.91695638575,7.85868996837042,1152.48246952771,21.7257055157686,196.765316834922,13.902260158987698,1516.22679836909,149.376203067685,666.3890729724981,50.2407517056133,78.5467640583381,6.81062848528108,1188.66863986015,33.1621928535606,1744.04577074839,114.969084875686,1094.76100456448,124.723226815191,1105.06479604811,81.4435892750407,249.347837137269,28.0621783165672,1956.16496399795,190.978608310573,,,,,,,,,,,,,,,,,,,,
20131108170520-722586,mnt OK-6-m-c/spots_eds/ys_xxx_ok6mc@1746@1750/1746,SEM-EDS,,,20130704181150-596999,mnt OK-6-m-c,,20131108170528-669950,20131108170528-822330,595.4423828125,-244.306640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.0,,1.33,,3.47,,1.43,,22.34,,2600.0,,14.61,,,,,,,
20131108170529-538883,mnt OK-6-m-c/spots_eds/ys_xxx_ok6mc@1746@1750/1747,SEM-EDS,,,20130704181150-596999,mnt OK-6-m-c,,20131108170535-144077,20131108170528-822330,565.4951171875,-331.7841796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700.0,,1.49,,3.46,,1.2,,22.16,,2800.0,,14.13,,,,,,,
20131108170536-713629,mnt OK-6-m-c/spots_eds/ys_xxx_ok6mc@1746@1750/1749,SEM-EDS,,,20130704181150-596999,mnt OK-6-m-c,,20131108170539-439942,20131108170528-822330,202.1875,-211.9951171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300.0,,,,,,,,,,,,,,17.3,,4.51,,17.26,
20131108170540-806541,mnt OK-6-m-c/spots_eds/ys_xxx_ok6mc@1746@1750/1750,SEM-EDS,,,20130704181150-596999,mnt OK-6-m-c,,20131108170543-114090,20131108170528-822330,244.744140625,-349.91015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700.0,,,,,,,,,,,,,,17.32,,4.51,,17.31,
20131217183247-773469,OK-6-m-f,PW2400,XRF,HK,20130809083635-550077,powder OK-6-m-f,,,,,,404000.0,,,,,,,,,,1100.0,,18900.0,,7000.0,,24.8,,3100.0,,9900.0,,26.8,,19300.0,,10300.0,,1400.0,,2300.0,,3500.0,,2800.0,,2.03,,25.0,,319.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
