element,ref,ol1_1,ol1_2,ol1_3,ol1_4,ol1_5,ol1_6,ol1_7,ol1_8,ol1_9,ol1_10,ol2_1,ol2_2,ol2_3,ol2_4,ol2_5,ol2_6,ol2_7,ol2_8,ol2_9,px1_1,px1_2,px1_3,px1_4,px1_5,px1_6,px1_7,px1_8,px2_1,px2_2,px2_3,px2_4,px2_5,px2_6,px2_7,px2_8,px2_9,int1_1,int1_2,int1_3,int2_1,int2_2,int2_3
Cs,0.19,0.031455485,0.005996521,0,0.017437345,0.039555415,0,0.044201091,0.009177555,0,0.173327829,0.00492616,0.031729636,0,0.034368958,0,0,0.011925919,0.022733502,0.027862109,0.102721449,0,0.006101299,0,0.032403467,0,0,0.042759539,0.012027522,0.02951882,0.034331393,0.009147645,0,0.018123122,0.14282317,0.005397081,0,0.021856321,0.052501861,0.033798304,0.007678191,0,14.98561746
Rb,2.3,0.105972355,0,0.031439123,0.025324421,0,0.065057643,0.014410822,0,0,0.423365596,0.064242771,0.03275844,0,0.017826558,0,0.001631879,0,0,0.057065184,1.250298386,0,0,0.033318485,0,0.053414765,0.073696744,0.124421951,0.137246084,0,0.062680898,0.093945423,0.066673878,0.109695503,0.039666009,0.005278809,0,0.1029291,0.064119459,0.095725436,0.049565304,20.57164896,127.3292958
Ba,2.41,1.313898079,0.046302622,0.050056898,0,0.166154114,0,0,0.14173047,0.105849428,10.11659213,0.113026444,0,0.04578211,0.067551961,0,0,0.196452176,0.096848878,0.458964356,1.173894616,0.137364635,0,0,0.153972931,0.079767457,0,10.06362016,3.460126354,0,0.074225941,0,0.045116787,0,0.364105895,0,0,2.187523237,2.947946951,1.760248784,0.258729202,57.27109819,120.8462911
Th,0.029,0,0,0,0.001002285,0,0,0,0,0.000984925,0,0.000889906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001964621,0,0,0.000923582,0,0.000955587,0,0,0,0,0,0,0.470434316,0
U,0.0074,0.007091727,0,0,0,0.000440648,0,0,0,0,0.017743181,0.000391982,0,0,0,0,0,0.0008857,0.000436641,0.000795858,0,0,0,0.000451767,0,0.000449537,0,0.005954277,0.005742293,0,0,0,0,0,0,0,0,0.007006885,0.018411026,0.006220292,0,0,0
B,0.9,33.73538877,0.480701243,0.544423646,0,0.519422794,0.835252444,0.5664472,0.653958763,0.570857143,32.18812627,2.138356735,1.291964077,0.758212555,1.335821149,1.162936889,1.157328367,1.238275813,0.67030582,4.625214112,5.541946877,0.222009151,0,0.136228581,0.444029202,0,0.084183173,17.28564522,23.63847824,0.201641966,0.851846605,0.069838664,0.334564447,0.61360935,3.588507533,0.153045598,0.243231931,23.26579519,42.34277833,31.32528755,2.666303381,148.0678624,994.1089439
Nb,0.24,0.03931202,0,0.021267476,0.004622676,0,0.008986872,0.006905132,0.055755985,0.04088348,0.008196408,0.010260918,0.05287286,0,0,0.108828182,0.085491657,0.004636992,0.061721699,0.006249948,0.029954832,0.022446757,0.012708669,0.078051029,0.031497493,0.004707012,0.013780585,0.074815231,0.095200115,0,0.060068727,0.026675653,0.076674364,0.041360278,0,0,0.057512704,0.002869285,0.003079853,0.002037743,0.014284637,1.284554847,0
La,0.237,0,0,0.017427622,0.011932355,0,0,0,0,0.006700389,0.006044888,0.001513495,0.008123745,0,0,0.006551941,0,0.008549507,0,0,0.011045912,0.001839398,0.013121781,0,0.00893444,0.001735721,0.006775496,0,0.014781161,0,0,0,0,0,0,0.008290893,0.0081569,0.001366387,0.001833328,0.000808664,0.002125785,0.509766724,0
Ce,0.613,0.009362299,0,0.001266232,0,0.003708537,0.004815576,0.007400169,0,0,0.016104034,0.003298961,0,0.004632389,0.00122056,0.004760417,0,0,0,0.004465343,0.026751943,0.014700885,0,0.011406355,0.002596584,0.016394505,0.011076399,0,0.013424359,0.00728303,0.01743493,0.005955847,0.011412673,0.00492505,0.002361632,0.009638208,0.005926525,0.003671597,0.006568408,0.003621582,0.000634685,2.282976818,0
Pb,2.47,1.160425559,0,0,0.016982231,0,0.146829379,0.07031622,0.021561015,0.002634962,1.358691932,0.205538743,0.006815367,0.006686102,0.046684532,0.011165196,0.024996504,0.034069649,0.004419995,0.033030617,0.296347813,0.101269369,0.117947573,0.668589843,0.002810811,0.086460269,0.02398048,0.079561034,0.164695032,0.026279682,0.021293035,0,0.00576532,0.326991498,1.832992691,0,0.029083526,0.10048035,0.260391106,0.615737801,0.156324365,124.6705216,151.8720603
Pr,0.0928,0.007317448,0,0,0,0,0.005376843,0,0,0,0.006538545,0,0,0.017585835,0,0.006378305,0.004990208,0.009987519,0.005470826,0.007977262,0.001194798,0.003581303,0,0.013584845,0.019714707,0,0.015390516,0,0,0,0,0.023408051,0,0.006598891,0.008438036,0.008609251,0,0.00108058,0.000483283,0.001279032,0.000560378,1.209416158,0
Sr,7.25,38.36916774,0,0,0,0.149356324,0.002020217,0.018626989,0.723949228,0.085777634,25.67494941,3.083486865,0.639843126,0.050527532,0.548913178,0.489283761,0.766853866,1.05071837,0.635158352,9.857241566,36.22527524,0.766984576,0.585085651,0.55720552,0.80391184,0.795705835,0.501847881,110.624499,75.64565548,0.554037901,0.594142388,0.557683052,0.520913974,0.3801703,4.127445179,0.543836487,0.598696005,30.13457213,55.28318287,36.29330383,3.952377996,670.4096674,1116.800865
Nd,0.457,0,0.012613745,0.054545934,0,0,0,0.013282495,0.019305083,0,0.023649531,0.011842548,0,0,0,0,0.042115006,0.006689679,0.006595885,0,0.064822698,0.035981565,0.007333799,0.061419482,0.125835762,0.054325559,0.006626975,0.062961602,0.144571543,0.045752848,0.101103029,0.076968675,0.0245814,0.026519777,0.006358308,0.006487324,0.025529915,0,0.00887086,0.019564281,0.010285961,2.466590489,0
Sm,0.148,0,0,0.076859195,0.015035429,0,0.014615071,0.037432007,0.021761815,0,0.133295647,0,0,0,0,0,0,0.165901926,0,0.013552128,0.016238205,0.202802588,0.041335429,0.02307854,0,0.076548671,0.126995315,0,0.081484735,0,0.105828569,0,0.096983555,0,0.050172188,0.087754676,0,0,0.003354779,0,0.007779883,2.798443059,11.80984739
Zr,3.82,0.028698617,0.063189642,0.012420571,0.006074374,0.139446507,0,0.060490731,0.076196135,0,0.093343437,0,0,0.056799358,0,0.06420607,0,0,0.066085306,0,0.131206017,0.019663937,0.093518214,0.006215883,0.197393314,0.191741039,0.10864932,0.131080133,0.105344524,0.017859961,0.09866578,0.105158512,0.072766107,0,0.10424452,0.177266227,0.029066889,0.004904329,0.018095837,0.008707539,0.02098253,41.16800654,23.16468428
Hf,0.103,0.003321356,0,0,0.007030011,0,0,0.007000729,0,0,0,0.003120892,0,0.026294072,0.006928065,0,0,0,0,0,0.007592384,0.015171678,0,0.017984453,0,0,0,0,0,0,0.030450169,0,0,0,0.003351237,0.003419237,0.02018386,0,0,0,0.004052405,5.830639899,12.30308531
Eu,0.0563,0,0.019799015,0.007783398,0.009516325,0,0.024050699,0.003790675,0.033056723,0.013092096,0.02474747,0.00337973,0,0,0,0.023775215,0,0.009545797,0.005647174,0,0,0.018483721,0,0,0.015960939,0.015503904,0,0.048771733,0.008251819,0,0,0.010982997,0.008769069,0.015136893,0,0,0.005464463,0.00136102,0.001826126,0,0,0,0
Gd,0.199,0.021330604,0.007116135,0,0.007524757,0,0.014628763,0,0,0,0,0.033405293,0,0,0,0,0.027153694,0,0,0,0.203167721,0.251710798,0.14894695,0.161701125,0.197197632,0.091944461,0.1345916,0.162378235,0.212058788,0.117996787,0.105927712,0.13026729,0.117876072,0.067325952,0.071741701,0.065877665,0.108021636,0.014705746,0,0,0.061010041,0,0
Tb,0.0361,0,0.003295765,0,0,0,0,0.017352492,0,0,0,0.005157107,0.008857913,0.017379816,0.026330987,0,0.011527959,0,0.014936104,0.008376546,0.042656423,0.02883094,0.026826822,0.028529608,0.053580305,0.050863191,0.038093441,0.056402864,0.04784729,0.040986753,0.035222087,0.035752274,0.017127246,0.025407006,0,0.032770609,0.022235162,0.001199431,0.001072878,0,0.005598118,0,3.776859059
Dy,0.246,0.038550915,0,0,0.004533178,0.058819913,0.039657962,0.058685851,0,0,0.016075441,0.024149426,0.038886907,0,0.026804642,0.008711935,0.016358339,0.027283303,0,0.03677367,0.328019589,0.259254498,0.244267376,0.241216698,0.289869018,0.32772755,0.261266495,0.27512536,0.393082031,0.222141899,0.309255239,0.279031428,0.221392487,0.279410008,0.159912964,0.291038137,0.303688125,0.007920985,0.008502283,0.008438131,0.069010118,0,22.44797798
Li,1.5,2.285207631,1.794106067,1.534828571,1.603150893,1.733137714,1.962200734,1.861901723,1.758701313,1.848860899,3.317439404,2.58926688,2.04360304,1.821584641,2.205683522,2.135580781,2.305553089,2.803390171,2.236853671,1.883085298,2.561112611,2.355884242,1.56898609,1.496101912,0.982015149,1.145472909,3.17440005,1.744537756,2.651100038,3.568818922,1.659593006,1.639874934,2.553611027,1.769108395,3.307299629,2.184786035,2.490841949,1.364347018,1.662800336,1.49649675,0.838538289,51.78700253,0
Y,1.57,0.144366462,0.104522461,0.179466261,0.087769336,0.068135994,0.151671994,0.113301165,0.10978301,0.210831205,0.149858899,0.19337781,0.083656739,0.060792628,0.044850065,0.146811054,0.178889694,0.140213693,0.131817652,0.278351998,1.923896981,2.034485975,1.969687202,1.926011449,1.966183532,1.995943266,1.905829368,1.635321775,1.620792105,1.97209305,1.833962775,2.257286182,2.018938931,1.955158272,2.10129932,2.124963707,1.810627162,0.056413462,0.063836498,0.050683866,0.461037955,3.042871447,19.2620575
Ho,0.0546,0.007458146,0,0,0.004510279,0.014630697,0.008768363,0.005614366,0,0.006648238,0,0.001001143,0.007523148,0.001054351,0.008889747,0.0119184,0.004068927,0,0.002230407,0,0.076719574,0.107071468,0.066958205,0.07615328,0.068555233,0.072332888,0.062745763,0.071475405,0.080663636,0.07735692,0.084249292,0.059645336,0.052990478,0.072862535,0.04730154,0.081166784,0.097120953,0.000396208,0,0.002813835,0.016026612,0,0
Er,0.16,0.005867897,0,0.031744835,0.012420042,0.012396563,0.042254816,0.021644541,0.017976385,0.015256151,0.01101091,0.035839274,0.029595194,0.005806774,0.00917995,0.020885408,0.008403511,0.012458506,0.012283828,0.027986897,0.177730163,0.160824407,0.201456689,0.19381802,0.214820732,0.183376167,0.219065692,0.180072278,0.215393935,0.222148625,0.272346518,0.268767004,0.203144772,0.203729771,0.142096532,0.202367638,0.255557431,0.013164666,0.007359782,0.009739,0.04949623,0,0
Tm,0.0247,0.010817282,0.004921049,0,0,0.004155031,0.003034886,0,0.012050507,0.015340489,0.017222769,0,0,0.001946292,0.006153799,0.002000082,0.022533244,0.00626369,0.002058622,0,0.048331103,0.047166429,0.048067546,0.033014064,0.042547089,0.018015105,0.039298195,0.032283397,0.029329174,0.049979261,0.063109948,0.025023407,0.0258931,0.035177297,0.016868022,0.027333989,0.051792442,0.001179461,0.000527507,0.001396073,0.012233135,1.320086689,1.856987618
Yb,0.161,0.040096341,0.01203894,0.05206029,0.008486827,0.033883134,0.057746874,0.029580169,0,0.041699153,0.03009577,0.064049691,0.036401222,0.035710811,0.033455022,0.040775302,0.057422623,0.029795885,0.046165621,0.087970054,0.22456063,0.274735158,0.219320792,0.334354604,0.333615167,0.224683151,0.278299369,0.148800372,0.257569118,0.27448396,0.307867523,0.257114315,0.293265403,0.303735339,0.222513927,0.276562523,0.18274893,0.024376783,0.023985246,0.017312196,0.080905983,3.637760308,38.37972862
Lu,0.0246,0.002900539,0.011611839,0.014645566,0.011255397,0.007148985,0.014919164,0.010189559,0.00493658,0.015082429,0.001209503,0.002725475,0.005851638,0.007654203,0.008067038,0.01769793,0.009230911,0.007184707,0.01517994,0.008300463,0.039782569,0.046372987,0.054010223,0.03350575,0.053629941,0.036465989,0.032536516,0.020700208,0.033272069,0.041115889,0.065372316,0.031491147,0.04808643,0.043740533,0.039997344,0.037822907,0.034273871,0.001963938,0.005797179,0.004184318,0.012221744,0,0